    Lat. [deg],     Lon. [deg],       Alt. [m],       Point ID, Mean Gap Time [s]
     31.480523,     -97.337897,       1.000000,            270,     4000.000000
     31.480523,     -96.337897,       1.000000,            271,     4000.000000
     31.480523,     -95.337897,       1.000000,            272,     4000.000000
     31.480523,     -94.337897,       1.000000,            273,     4000.000000
     32.480523,    -102.337897,       1.000000,            278,     1296.666667
     32.480523,    -101.337897,       1.000000,            279,     1306.666667
     32.480523,    -100.337897,       1.000000,            280,     1975.000000
     32.480523,     -99.337897,       1.000000,            281,     1990.000000
     32.480523,     -98.337897,       1.000000,            282,     4000.000000
     32.480523,     -97.337897,       1.000000,            283,     4000.000000
     32.480523,     -96.337897,       1.000000,            284,     4000.000000
     32.480523,     -95.337897,       1.000000,            285,     4000.000000
     32.480523,     -94.337897,       1.000000,            286,     4000.000000
     33.480523,    -102.337897,       1.000000,            291,     1300.000000
     33.480523,    -101.337897,       1.000000,            292,     1310.000000
     33.480523,    -100.337897,       1.000000,            293,     1975.000000
     33.480523,     -99.337897,       1.000000,            294,     1995.000000
     33.480523,     -98.337897,       1.000000,            295,     4000.000000
     33.480523,     -97.337897,       1.000000,            296,     4000.000000
     33.480523,     -96.337897,       1.000000,            297,     4000.000000
     33.480523,     -95.337897,       1.000000,            298,     4000.000000
     33.480523,     -94.337897,       1.000000,            299,     4000.000000
     34.480523,    -102.337897,       1.000000,            304,     1296.666667
     34.480523,    -101.337897,       1.000000,            305,     1970.000000
     34.480523,    -100.337897,       1.000000,            306,     1970.000000
     35.480523,    -102.337897,       1.000000,            317,     1296.666667
     35.480523,    -101.337897,       1.000000,            318,     1970.000000
     35.480523,    -100.337897,       1.000000,            319,     1975.000000
     36.480523,    -102.337897,       1.000000,            330,     1300.000000
     36.480523,    -101.337897,       1.000000,            331,     1975.000000
     36.480523,    -100.337897,       1.000000,            332,     1980.000000
