# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************

#Launch data for DELTA_IV_M Launched from Latitude: 28.531986 Longitude: -80.566821 Altitude: 1.0
#Generated on Mon Dec  3 13:48:44 2018
#Lau-Hdg -Loft- -Incl.- -Time-- ---Lat---- ----Lon---- --Alt-- -Speed-- -FSpeed- --Hdg-- -Angle- -DeltaV- -Fleft- -Tleft-
  50.000 86.600   45.04  844.30  44.064731  -42.201713  271.91  7748.14  7406.35   78.60    0.00  1836.62  6500.2  270.71 273.165 x 268.961 km, e=0.001
  50.000 86.800   44.99  847.16  44.031137  -42.165112  282.85  7741.78  7399.12   78.69    0.00  1820.61  6431.6  267.85 284.169 x 279.997 km, e=0.001
  50.000 87.000   44.94  850.33  43.994628  -42.127029  295.13  7734.61  7391.00   78.79    0.00  1802.79  6355.4  264.68 296.418 x 292.283 km, e=0.001
  50.000 87.200   44.88  853.88  43.955317  -42.086461  309.00  7726.55  7381.86   78.90    0.00  1782.76  6270.2  261.13 310.287 x 306.191 km, e=0.001
  50.000 87.400   44.82  857.89  43.912373  -42.042567  324.81  7717.45  7371.56   79.01    0.00  1760.02  6173.9  257.12 326.187 x 322.130 km, e=0.001
  50.000 87.600   44.75  862.43  43.864967  -41.997463  343.00  7706.94  7359.69   79.13    0.00  1734.15  6064.9  252.58 344.317 x 340.307 km, e=0.001
  50.000 87.800   44.67  867.65  43.812465  -41.948885  364.15  7694.84  7346.03   79.27    0.00  1704.21  5939.6  247.36 365.536 x 361.575 km, e=0.001
  50.000 88.000   44.59  873.69  43.753036  -41.898966  389.06  7680.61  7329.99   79.42    0.00  1669.33  5794.5  241.32 390.432 x 386.526 km, e=0.001
  50.000 88.200   44.49  880.79  43.685479  -41.847225  418.86  7663.73  7310.98   79.58    0.00  1627.99  5624.0  234.22 420.290 x 416.443 km, e=0.001
  50.000 88.400   44.38  889.25  43.606676  -41.796083  455.19  7643.26  7287.95   79.77    0.00  1578.23  5420.9  225.76 456.621 x 452.843 km, e=0.001
  50.000 88.600   44.25  899.54  43.512641  -41.747201  500.57  7617.97  7259.50   79.97    0.00  1516.97  5173.8  215.47 502.067 x 498.363 km, e=0.001
  50.000 88.800   44.10  912.36  43.397562  -41.706311  559.15  7585.65  7223.17   80.21    0.00  1439.48  4866.0  202.65 560.654 x 557.039 km, e=0.001
  50.000 89.000   43.91  928.95  43.251908  -41.676083  639.01  7542.28  7174.44   80.49    0.00  1337.22  4467.6  186.06 640.595 x 637.083 km, e=0.001
  60.000 81.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 81.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 81.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 81.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 81.800    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 82.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 82.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 82.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 82.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  60.000 82.800   39.00  810.19  38.978351  -41.919798  174.34  7804.58  7433.78   85.65    0.00  2023.41  7319.3  304.82 177.480 x 175.903 km, e=0.000
  60.000 83.000   39.00  810.98  38.976778  -41.908897  177.13  7802.93  7431.96   85.66    0.00  2019.17  7300.3  304.03 180.291 x 178.716 km, e=0.000
  60.000 83.200   38.99  811.81  38.975147  -41.897613  180.06  7801.19  7430.04   85.68    0.00  2014.71  7280.4  303.20 183.244 x 181.673 km, e=0.000
  60.000 83.400   38.98  812.66  38.965396  -41.885771  183.08  7799.38  7427.99   85.70    0.00  2010.14  7260.0  302.35 186.244 x 184.684 km, e=0.000
  60.000 83.600   38.97  813.55  38.951835  -41.873039  186.24  7797.50  7425.84   85.74    0.00  2005.35  7238.6  301.46 189.400 x 187.853 km, e=0.000
  60.000 83.800   38.95  814.49  38.937777  -41.859761  189.58  7795.50  7423.57   85.77    0.00  2000.28  7216.0  300.52 192.738 x 191.204 km, e=0.000
  60.000 84.000   38.93  815.49  38.923231  -41.845448  193.12  7793.42  7421.19   85.81    0.00  1994.89  7192.0  299.52 196.325 x 194.800 km, e=0.000
  60.000 84.200   38.91  816.54  38.908269  -41.831349  196.89  7791.15  7418.61   85.84    0.00  1989.21  7166.8  298.47 200.042 x 198.535 km, e=0.000
  60.000 84.400   38.89  817.66  38.892602  -41.816201  200.90  7788.75  7415.88   85.88    0.00  1983.15  7139.9  297.35 204.041 x 202.550 km, e=0.000
  60.000 84.600   38.88  818.86  38.876387  -41.799711  205.19  7786.23  7413.02   85.92    0.00  1976.65  7111.1  296.15 208.379 x 206.898 km, e=0.000
  60.000 84.800   38.86  820.14  38.859559  -41.782463  209.79  7783.53  7409.94   85.96    0.00  1969.71  7080.3  294.87 213.017 x 211.548 km, e=0.000
  60.000 85.000   38.83  821.50  38.842044  -41.765143  214.73  7780.56  7406.59   86.00    0.00  1962.32  7047.7  293.51 217.903 x 216.456 km, e=0.000
  60.000 85.200   38.81  822.97  38.823724  -41.745996  220.06  7777.43  7403.04   86.05    0.00  1954.32  7012.4  292.04 223.269 x 221.836 km, e=0.000
  60.000 85.400   38.79  824.55  38.804496  -41.725900  225.82  7774.04  7399.20   86.10    0.00  1945.70  6974.5  290.46 229.055 x 227.637 km, e=0.000
  60.000 85.600   38.77  826.25  38.784477  -41.705095  232.07  7770.34  7395.01   86.15    0.00  1936.41  6933.6  288.76 235.280 x 233.884 km, e=0.000
  60.000 85.800   38.74  828.10  38.763305  -41.682247  238.88  7766.36  7390.52   86.20    0.00  1926.29  6889.2  286.91 242.145 x 240.762 km, e=0.000
  60.000 86.000   38.71  830.10  38.741010  -41.658800  246.31  7761.97  7385.56   86.26    0.00  1915.31  6841.2  284.91 249.559 x 248.199 km, e=0.000
  60.000 86.200   38.69  832.28  38.717355  -41.633956  254.47  7757.16  7380.14   86.31    0.00  1903.32  6788.8  282.73 257.685 x 256.351 km, e=0.000
  60.000 86.400   38.66  834.68  38.692294  -41.606466  263.47  7751.94  7374.25   86.38    0.00  1890.08  6731.2  280.33 266.771 x 265.452 km, e=0.000
  60.000 86.600   38.62  837.31  38.665610  -41.577980  273.44  7746.11  7367.68   86.44    0.00  1875.53  6668.1  277.70 276.749 x 275.454 km, e=0.000
  60.000 86.800   38.59  840.21  38.636961  -41.548193  284.56  7739.59  7360.35   86.51    0.00  1859.42  6598.4  274.80 287.804 x 286.542 km, e=0.000
  60.000 87.000   38.55  843.44  38.605999  -41.515900  297.02  7732.34  7352.19   86.59    0.00  1841.43  6520.9  271.57 300.269 x 299.036 km, e=0.000
  60.000 87.200   38.52  847.06  38.572688  -41.480964  311.11  7724.20  7343.05   86.67    0.00  1821.17  6434.0  267.95 314.423 x 313.215 km, e=0.000
  60.000 87.400   38.47  851.13  38.536242  -41.444349  327.16  7714.93  7332.63   86.76    0.00  1798.29  6336.2  263.88 330.476 x 329.302 km, e=0.000
  60.000 87.600   38.43  855.75  38.496268  -41.405665  345.62  7704.29  7320.69   86.86    0.00  1772.17  6225.3  259.26 348.917 x 347.782 km, e=0.000
