# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_MRBM_2
#Generated on Thu Jan 14 13:35:14 2010
#loft_angle burn_time ground_range time_of_flight
88.5000 93.6400 343701.13 356.3462
88.5000 93.6600 344032.04 356.4644
88.5000 93.6800 344330.79 356.5827
88.5000 93.7000 344662.18 356.7009
88.5000 93.7200 344961.40 356.8193
88.5000 93.7400 345260.83 356.9377
88.5000 93.7600 345592.95 357.0561
88.5000 93.7800 345892.85 357.1746
88.5000 93.8000 346192.95 357.2931
88.5000 93.8200 346525.81 357.4117
88.5000 93.8400 346826.39 357.5303
88.5000 93.8600 347127.18 357.6489
88.5000 93.8800 347460.77 357.7677
88.5000 93.9000 347762.03 357.8864
88.5000 93.9200 348096.10 358.0052
88.5000 93.9400 348397.83 358.1241
88.5000 93.9600 348699.77 358.2430
88.5000 93.9800 349034.59 358.3620
88.5000 94.0000 349337.00 358.4810
88.5000 94.0200 349672.30 358.6000
88.5000 94.0400 349975.19 358.7191
88.5000 94.0600 350278.29 358.8383
88.5000 94.0800 350614.33 358.9575
88.5000 94.1000 350917.91 359.0767
88.5000 94.1200 351221.69 359.1960
88.5000 94.1400 351558.48 359.3153
88.5000 94.1600 351862.74 359.4347
88.5000 94.1800 352200.02 359.5541
88.5000 94.2000 352504.75 359.6736
88.5000 94.2200 352809.70 359.7932
88.5000 94.2400 353147.73 359.9127
88.5000 94.2600 353453.16 360.0324
88.5000 94.2800 353791.68 360.1520
88.5000 94.3000 354097.58 360.2718
88.5000 94.3200 354403.69 360.3915
88.5000 94.3400 354742.97 360.5114
88.5000 94.3600 355049.56 360.6312
88.5000 94.3800 355389.33 360.7511
88.5000 94.4000 355696.40 360.8711
88.5000 94.4200 356003.68 360.9911
88.5000 94.4400 356344.21 361.1112
88.5000 94.4600 356651.97 361.2313
88.5000 94.4800 356992.99 361.3515
88.5000 94.5000 357301.24 361.4717
88.5000 94.5200 357609.70 361.5920
88.5000 94.5400 357951.48 361.7123
88.5000 94.5600 358260.42 361.8326
88.5000 94.5800 358602.71 361.9530
88.5000 94.6000 358912.13 362.0735
88.5000 94.6200 359221.77 362.1940
88.5000 94.6400 359564.82 362.3146
88.5000 94.6600 359874.94 362.4352
88.5000 94.6800 360218.50 362.5558
88.5000 94.7000 360529.10 362.6766
88.5000 94.7200 360839.92 362.7973
88.5000 94.7400 361184.25 362.9181
88.5000 94.7600 361495.56 363.0390
88.5000 94.7800 361840.38 363.1599
88.5000 94.8000 362152.18 363.2809
88.5000 94.8200 362497.51 363.4019
88.5000 94.8400 362809.79 363.5229
88.5000 94.8600 363122.29 363.6440
88.5000 94.8800 363468.40 363.7652
88.5000 94.9000 363781.38 363.8864
88.5000 94.9200 364128.00 364.0077
88.5000 94.9400 364441.47 364.1290
88.5000 94.9600 364788.60 364.2503
88.5000 94.9800 365102.56 364.3717
88.5000 95.0000 365416.74 364.4932
88.5000 95.0200 365764.65 364.6147
88.5000 95.0400 366079.32 364.7363
88.5000 95.0600 366427.73 364.8579
88.5000 95.0800 366742.90 364.9796
88.5000 95.1000 367091.82 365.1013
88.5000 95.1200 367407.48 365.2230
88.5000 95.1400 367723.35 365.3448
88.5000 95.1600 368073.07 365.4667
88.5000 95.1800 368389.43 365.5886
88.5000 95.2000 368739.66 365.7106
88.5000 95.2200 369056.52 365.8326
88.5000 95.2400 369407.26 365.9547
88.5000 95.2600 369724.62 366.0768
88.5000 95.2800 370042.19 366.1990
88.5000 95.3000 370393.73 366.3212
88.5000 95.3200 370711.79 366.4435
88.5000 95.3400 371063.85 366.5658
88.5000 95.3600 371382.41 366.6882
88.5000 95.3800 371734.99 366.8106
88.5000 95.4000 372054.04 366.9331
88.5000 95.4200 372407.14 367.0557
88.5000 95.4400 372726.69 367.1782
88.5000 95.4600 373080.31 367.3009
88.5000 95.4800 373400.37 367.4236
88.5000 95.5000 373720.64 367.5463
88.5000 95.5200 374075.06 367.6691
88.5000 95.5400 374395.83 367.7920
88.5000 95.5600 374750.78 367.9149
88.5000 95.5800 375072.05 368.0378
88.5000 95.6000 375427.52 368.1608
88.5000 95.6200 375749.30 368.2839
88.5000 95.6400 376105.29 368.4070
88.5000 95.6600 376427.57 368.5301
88.5000 95.6800 376784.09 368.6533
88.5000 95.7000 377106.87 368.7766
88.5000 95.7200 377429.87 368.8999
88.5000 95.7400 377787.21 369.0233
88.5000 95.7600 378110.71 369.1467
88.5000 95.7800 378468.58 369.2702
88.5000 95.8000 378792.58 369.3937
88.5000 95.8200 379150.98 369.5173
88.5000 95.8400 379475.49 369.6410
88.5000 95.8600 379834.42 369.7646
88.5000 95.8800 380159.44 369.8884
88.5000 95.9000 380518.91 370.0122
88.5000 95.9200 380844.43 370.1360
88.5000 95.9400 381204.43 370.2599
88.5000 95.9600 381530.46 370.3839
88.5000 95.9800 381890.99 370.5079
88.5000 96.0000 382217.53 370.6320
88.5000 96.0200 382578.60 370.7561
88.5000 96.0400 382905.65 370.8802
88.5000 96.0600 383267.26 371.0045
88.5000 96.0800 383594.82 371.1287
88.5000 96.1000 383956.97 371.2531
88.5000 96.1200 384285.03 371.3775
88.5000 96.1400 384647.72 371.5019
88.5000 96.1600 384976.30 371.6264
88.5000 96.1800 385339.53 371.7509
88.5000 96.2000 385668.62 371.8755
88.5000 96.2200 386032.39 372.0002
88.5000 96.2400 386361.99 372.1249
88.5000 96.2600 386691.81 372.2496
88.5000 96.2800 387056.42 372.3745
88.5000 96.3000 387386.75 372.4993
88.5000 96.3200 387751.90 372.6243
88.5000 96.3400 388082.75 372.7492
88.5000 96.3600 388448.45 372.8743
88.5000 96.3800 388779.81 372.9993
88.5000 96.4000 389146.06 373.1245
88.5000 96.4200 389477.94 373.2497
88.5000 96.4400 389844.73 373.3750
88.5000 96.4600 390211.79 373.5002
88.5000 96.4800 390544.47 373.6256
88.5000 96.5000 390912.08 373.7510
88.5000 96.5200 391245.28 373.8765
88.5000 96.5400 391613.44 374.0020
88.5000 96.5600 391947.16 374.1276
88.5000 96.5800 392315.87 374.2533
88.5000 96.6000 392650.11 374.3790
88.5000 96.6200 393019.38 374.5047
88.5000 96.6400 393354.13 374.6305
88.5000 96.6600 393723.96 374.7564
88.5000 96.6800 394059.23 374.8823
88.5000 96.7000 394429.61 375.0083
88.5000 96.7200 394765.41 375.1343
88.5000 96.7400 395136.35 375.2604
88.5000 96.7600 395472.66 375.3865
88.5000 96.7800 395844.16 375.5127
88.5000 96.8000 396181.00 375.6389
88.5000 96.8200 396553.06 375.7653
88.5000 96.8400 396890.42 375.8916
88.5000 96.8600 397263.04 376.0180
88.5000 96.8800 397600.92 376.1445
88.5000 96.9000 397974.10 376.2710
88.5000 96.9200 398312.51 376.3976
88.5000 96.9400 398686.26 376.5243
88.5000 96.9600 399060.27 376.6510
88.5000 96.9800 399399.50 376.7777
88.5000 97.0000 399774.08 376.9045
88.5000 97.0200 400113.83 377.0314
88.5000 97.0400 400488.97 377.1583
88.5000 97.0600 400829.25 377.2853
88.5000 97.0800 401204.97 377.4124
88.5000 97.1000 401545.77 377.5395
88.5000 97.1200 401922.06 377.6666
88.5000 97.1400 402263.39 377.7938
88.5000 97.1600 402640.24 377.9211
88.5000 97.1800 402982.10 378.0484
88.5000 97.2000 403359.53 378.1758
88.5000 97.2200 403737.22 378.3032
88.5000 97.2400 404079.91 378.4307
88.5000 97.2600 404458.18 378.5583
88.5000 97.2800 404801.40 378.6859
88.5000 97.3000 405180.25 378.8136
88.5000 97.3200 405524.00 378.9413
88.5000 97.3400 405903.42 379.0691
88.5000 97.3600 406247.70 379.1969
88.5000 97.3800 406627.69 379.3248
88.5000 97.4000 407007.97 379.4528
88.5000 97.4200 407353.08 379.5808
88.5000 97.4400 407733.93 379.7089
88.5000 97.4600 408079.58 379.8370
88.5000 97.4800 408461.01 379.9652
88.5000 97.5000 408807.20 380.0934
88.5000 97.5200 409189.21 380.2218
88.5000 97.5400 409571.50 380.3501
88.5000 97.5600 409918.52 380.4785
88.5000 97.5800 410301.39 380.6070
88.5000 97.6000 410648.95 380.7356
88.5000 97.6200 411032.41 380.8642
88.5000 97.6400 411380.50 380.9928
88.5000 97.6600 411764.54 381.1215
88.5000 97.6800 412148.86 381.2503
88.5000 97.7000 412497.80 381.3791
88.5000 97.7200 412882.71 381.5080
88.5000 97.7400 413232.19 381.6370
88.5000 97.7600 413617.68 381.7660
88.5000 97.7800 413967.70 381.8951
88.5000 97.8000 414353.78 382.0242
88.5000 97.8200 414740.15 382.1534
88.5000 97.8400 415091.01 382.2826
88.5000 97.8600 415477.97 382.4120
88.5000 97.8800 415829.37 382.5413
