# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_3
#Generated on Wed Feb 17 08:03:03 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.4600 73.5200 518667.51 401.2734 1154.67 -48.6037
57.4600 73.5400 519068.89 401.4008 1153.16 -48.6058
57.4600 73.5600 519432.37 401.5284 1155.91 -48.5921
57.4600 73.5800 519834.27 401.6560 1154.41 -48.5942
57.4600 73.6000 520198.22 401.7837 1157.18 -48.5805
57.4600 73.6200 520600.65 401.9114 1155.68 -48.5826
57.4600 73.6400 520965.07 402.0392 1158.46 -48.5689
57.4600 73.6600 521368.01 402.1670 1156.97 -48.5709
57.4600 73.6800 521732.90 402.2949 1159.76 -48.5572
57.4600 73.7000 522136.37 402.4229 1158.28 -48.5592
57.4600 73.7200 522540.07 402.5508 1156.80 -48.5611
57.4600 73.7400 522905.72 402.6789 1159.61 -48.5473
57.4600 73.7600 523309.94 402.8070 1158.14 -48.5493
57.4600 73.7800 523676.06 402.9351 1160.96 -48.5355
57.4600 73.8000 524080.81 403.0633 1159.50 -48.5374
57.4600 73.8200 524447.40 403.1916 1162.34 -48.5235
57.4600 73.8400 524852.68 403.3199 1160.88 -48.5254
57.4600 73.8600 525219.74 403.4483 1163.73 -48.5115
57.4600 73.8800 525625.54 403.5767 1162.28 -48.5133
57.4600 73.9000 526031.58 403.7052 1160.83 -48.5152
57.4600 73.9200 526399.41 403.8337 1163.70 -48.5012
57.4600 73.9400 526805.98 403.9623 1162.26 -48.5030
57.4600 73.9600 527174.28 404.0910 1165.14 -48.4891
57.4600 73.9800 527581.38 404.2197 1163.71 -48.4908
57.4600 74.0000 527950.15 404.3484 1166.60 -48.4768
57.4600 74.0200 528357.78 404.4772 1165.18 -48.4785
57.4600 74.0400 528765.66 404.6061 1163.76 -48.4802
57.4600 74.0600 529135.19 404.7350 1166.67 -48.4662
57.4600 74.0800 529543.60 404.8640 1165.26 -48.4678
57.4600 74.1000 529913.60 404.9930 1168.18 -48.4538
57.4600 74.1200 530322.55 405.1221 1166.78 -48.4554
57.4600 74.1400 530731.73 405.2512 1165.38 -48.4570
57.4600 74.1600 531102.50 405.3804 1168.32 -48.4429
57.4600 74.1800 531512.23 405.5097 1166.93 -48.4445
57.4600 74.2000 531883.47 405.6390 1169.88 -48.4303
57.4600 74.2200 532293.73 405.7683 1168.49 -48.4319
57.4600 74.2400 532665.45 405.8977 1171.46 -48.4177
57.4600 74.2600 533076.25 406.0272 1170.09 -48.4192
57.4600 74.2800 533487.29 406.1567 1168.71 -48.4206
57.4600 74.3000 533859.78 406.2863 1171.70 -48.4065
57.4600 74.3200 534271.36 406.4160 1170.33 -48.4079
57.4600 74.3400 534644.32 406.5457 1173.33 -48.3937
57.4600 74.3600 535056.44 406.6754 1171.98 -48.3950
57.4600 74.3800 535468.81 406.8052 1170.63 -48.3964
57.4600 74.4000 535842.54 406.9351 1173.64 -48.3821
57.4600 74.4200 536255.45 407.0650 1172.30 -48.3835
57.4600 74.4400 536629.66 407.1950 1175.33 -48.3692
57.4600 74.4600 537043.11 407.3250 1173.99 -48.3705
57.4600 74.4800 537456.81 407.4551 1172.66 -48.3718
57.4600 74.5000 537831.80 407.5853 1175.71 -48.3574
57.4600 74.5200 538246.04 407.7155 1174.38 -48.3587
57.4600 74.5400 538621.50 407.8457 1177.45 -48.3443
57.4600 74.5600 539036.29 407.9760 1176.13 -48.3455
57.4600 74.5800 539451.33 408.1064 1174.82 -48.3467
57.4600 74.6000 539827.56 408.2368 1177.90 -48.3323
57.4600 74.6200 540243.15 408.3673 1176.60 -48.3334
57.4600 74.6400 540619.86 408.4978 1179.70 -48.3190
57.4600 74.6600 541036.00 408.6285 1178.40 -48.3201
57.4600 74.6800 541452.38 408.7591 1177.11 -48.3212
57.4600 74.7000 541829.87 408.8898 1180.22 -48.3067
57.4600 74.7200 542246.81 409.0206 1178.94 -48.3077
57.4600 74.7400 542664.00 409.1514 1177.66 -48.3088
57.4600 74.7600 543042.26 409.2823 1180.80 -48.2942
57.4600 74.7800 543460.01 409.4132 1179.53 -48.2952
