# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_1
#Generated on Thu Jan 14 13:00:44 2010
#loft_angle burn_time ground_range time_of_flight
84.6500 44.1000 37860.48 153.5978
84.6500 44.1200 37921.44 153.6732
84.6500 44.1400 37970.64 153.7486
84.6500 44.1600 38031.74 153.8240
84.6500 44.1800 38081.06 153.8995
84.6500 44.2000 38142.29 153.9749
84.6500 44.2200 38203.59 154.0504
84.6500 44.2400 38253.10 154.1259
84.6500 44.2600 38314.54 154.2014
84.6500 44.2800 38364.16 154.2769
84.6500 44.3000 38425.74 154.3524
84.6500 44.3200 38475.48 154.4280
84.6500 44.3400 38537.20 154.5035
84.6500 44.3600 38587.05 154.5791
84.6500 44.3800 38648.91 154.6547
84.6500 44.4000 38698.89 154.7303
84.6500 44.4200 38760.88 154.8060
84.6500 44.4400 38810.98 154.8816
84.6500 44.4600 38873.11 154.9573
84.6500 44.4800 38923.33 155.0329
84.6500 44.5000 38985.60 155.1086
84.6500 44.5200 39035.94 155.1843
84.6500 44.5400 39098.35 155.2600
84.6500 44.5600 39148.81 155.3358
84.6500 44.5800 39211.37 155.4115
84.6500 44.6000 39261.95 155.4873
84.6500 44.6200 39324.65 155.5631
84.6500 44.6400 39375.33 155.6389
84.6500 44.6600 39438.15 155.7147
84.6500 44.6800 39488.94 155.7905
84.6500 44.7000 39551.88 155.8664
84.6500 44.7200 39602.78 155.9422
84.6500 44.7400 39665.86 156.0181
84.6500 44.7600 39716.87 156.0940
84.6500 44.7800 39780.08 156.1699
84.6500 44.8000 39831.21 156.2458
84.6500 44.8200 39894.56 156.3218
84.6500 44.8400 39945.81 156.3977
84.6500 44.8600 40009.30 156.4737
84.6500 44.8800 40060.66 156.5497
84.6500 44.9000 40124.29 156.6257
84.6500 44.9200 40187.98 156.7017
84.6500 44.9400 40239.53 156.7777
84.6500 44.9600 40303.37 156.8538
84.6500 44.9800 40355.04 156.9298
84.6500 45.0000 40419.02 157.0059
84.6500 45.0200 40470.80 157.0820
84.6500 45.0400 40534.92 157.1581
84.6500 45.0600 40586.83 157.2343
84.6500 45.0800 40651.09 157.3104
84.6500 45.1000 40703.12 157.3866
84.6500 45.1200 40767.52 157.4627
84.6500 45.1400 40819.68 157.5389
84.6500 45.1600 40884.22 157.6151
84.6500 45.1800 40936.50 157.6914
84.6500 45.2000 41001.19 157.7676
84.6500 45.2200 41053.58 157.8439
84.6500 45.2400 41118.42 157.9201
84.6500 45.2600 41170.94 157.9964
84.6500 45.2800 41235.92 158.0727
84.6500 45.3000 41288.56 158.1491
84.6500 45.3200 41353.68 158.2254
84.6500 45.3400 41418.88 158.3018
84.6500 45.3600 41471.72 158.3781
84.6500 45.3800 41537.07 158.4545
84.6500 45.4000 41590.03 158.5309
84.6500 45.4200 41655.53 158.6074
84.6500 45.4400 41708.62 158.6838
84.6500 45.4600 41774.26 158.7603
84.6500 45.4800 41827.47 158.8367
84.6500 45.5000 41893.26 158.9132
84.6500 45.5200 41946.60 158.9897
84.6500 45.5400 42012.54 159.0663
84.6500 45.5600 42066.01 159.1428
84.6500 45.5800 42132.10 159.2194
84.6500 45.6000 42185.70 159.2959
84.6500 45.6200 42251.93 159.3725
84.6500 45.6400 42305.66 159.4491
84.6500 45.6600 42372.02 159.5258
84.6500 45.6800 42438.44 159.6024
84.6500 45.7000 42492.33 159.6791
84.6500 45.7200 42558.89 159.7557
84.6500 45.7400 42612.89 159.8324
84.6500 45.7600 42679.59 159.9091
84.6500 45.7800 42733.71 159.9859
84.6500 45.8000 42800.55 160.0626
84.6500 45.8200 42854.79 160.1393
84.6500 45.8400 42921.77 160.2161
84.6500 45.8600 42976.13 160.2929
84.6500 45.8800 43043.25 160.3697
84.6500 45.9000 43097.73 160.4465
84.6500 45.9200 43165.00 160.5234
84.6500 45.9400 43232.35 160.6002
84.6500 45.9600 43287.02 160.6771
84.6500 45.9800 43354.51 160.7540
84.6500 46.0000 43409.31 160.8309
84.6500 46.0200 43476.95 160.9079
84.6500 46.0400 43531.87 160.9848
84.6500 46.0600 43599.66 161.0618
84.6500 46.0800 43654.71 161.1387
84.6500 46.1000 43722.64 161.2157
84.6500 46.1200 43777.82 161.2927
84.6500 46.1400 43845.90 161.3698
84.6500 46.1600 43901.20 161.4468
84.6500 46.1800 43969.43 161.5239
84.6500 46.2000 44037.74 161.6010
84.6500 46.2200 44093.25 161.6781
84.6500 46.2400 44161.70 161.7552
84.6500 46.2600 44217.34 161.8323
84.6500 46.2800 44285.95 161.9095
84.6500 46.3000 44341.71 161.9866
84.6500 46.3200 44410.47 162.0638
84.6500 46.3400 44466.37 162.1410
84.6500 46.3600 44535.28 162.2183
84.6500 46.3800 44591.30 162.2955
84.6500 46.4000 44660.37 162.3728
84.6500 46.4200 44729.52 162.4500
84.6500 46.4400 44785.74 162.5273
84.6500 46.4600 44855.04 162.6046
84.6500 46.4800 44911.40 162.6820
84.6500 46.5000 44980.86 162.7593
84.6500 46.5200 45037.35 162.8367
84.6500 46.5400 45106.96 162.9141
84.6500 46.5600 45163.59 162.9915
84.6500 46.5800 45233.35 163.0689
84.6500 46.6000 45290.11 163.1463
84.6500 46.6200 45360.03 163.2238
84.6500 46.6400 45430.01 163.3012
84.6500 46.6600 45486.95 163.3787
84.6500 46.6800 45557.07 163.4562
84.6500 46.7000 45614.12 163.5337
84.6500 46.7200 45684.38 163.6113
84.6500 46.7400 45741.55 163.6888
84.6500 46.7600 45811.96 163.7664
84.6500 46.7800 45869.26 163.8440
84.6500 46.8000 45939.81 163.9216
84.6500 46.8200 45997.23 163.9992
84.6500 46.8400 46067.93 164.0769
84.6500 46.8600 46138.71 164.1546
84.6500 46.8800 46196.33 164.2322
84.6500 46.9000 46267.26 164.3099
84.6500 46.9200 46325.01 164.3877
84.6500 46.9400 46396.09 164.4654
84.6500 46.9600 46453.98 164.5432
84.6500 46.9800 46525.21 164.6209
84.6500 47.0000 46583.22 164.6987
84.6500 47.0200 46654.61 164.7765
84.6500 47.0400 46726.08 164.8544
84.6500 47.0600 46783.37 164.9339
84.6500 47.0800 46854.99 165.0118
84.6500 47.1000 46913.34 165.0897
84.6500 47.1200 46985.11 165.1676
84.6500 47.1400 47043.60 165.2455
84.6500 47.1600 47115.53 165.3234
84.6500 47.1800 47187.54 165.4014
84.6500 47.2000 47246.23 165.4794
84.6500 47.2200 47318.40 165.5574
84.6500 47.2400 47377.23 165.6354
84.6500 47.2600 47449.55 165.7134
84.6500 47.2800 47508.51 165.7914
84.6500 47.3000 47581.00 165.8695
84.6500 47.3200 47640.10 165.9476
84.6500 47.3400 47712.74 166.0257
84.6500 47.3600 47785.47 166.1038
84.6500 47.3800 47844.78 166.1820
84.6500 47.4000 47917.66 166.2601
84.6500 47.4200 47977.11 166.3383
84.6500 47.4400 48050.16 166.4165
84.6500 47.4600 48109.74 166.4947
84.6500 47.4800 48182.95 166.5729
84.6500 47.5000 48256.24 166.6512
84.6500 47.5200 48316.04 166.7295
84.6500 47.5400 48389.49 166.8078
84.6500 47.5600 48449.43 166.8861
84.6500 47.5800 48523.04 166.9644
84.6500 47.6000 48583.09 167.0428
84.6500 47.6200 48656.84 167.1211
84.6500 47.6400 48717.01 167.1995
84.6500 47.6600 48790.90 167.2779
84.6500 47.6800 48864.86 167.3563
84.6500 47.7000 48925.23 167.4348
84.6500 47.7200 48999.35 167.5132
84.6500 47.7400 49059.85 167.5917
84.6500 47.7600 49134.12 167.6702
84.6500 47.7800 49194.76 167.7487
84.6500 47.8000 49269.18 167.8272
84.6500 47.8200 49343.69 167.9058
84.6500 47.8400 49404.53 167.9844
84.6500 47.8600 49479.20 168.0629
84.6500 47.8800 49540.18 168.1416
84.6500 47.9000 49615.00 168.2202
84.6500 47.9200 49676.11 168.2988
84.6500 47.9400 49751.10 168.3775
84.6500 47.9600 49826.16 168.4562
84.6500 47.9800 49887.49 168.5349
84.6500 48.0000 49962.71 168.6136
84.6500 48.0200 50024.18 168.6923
84.6500 48.0400 50099.56 168.7711
84.6500 48.0600 50161.16 168.8499
84.6500 48.0800 50236.71 168.9287
84.6500 48.1000 50312.35 169.0075
84.6500 48.1200 50374.16 169.0863
84.6500 48.1400 50449.96 169.1652
84.6500 48.1600 50511.92 169.2441
84.6500 48.1800 50587.88 169.3230
84.6500 48.2000 50663.93 169.4019
84.6500 48.2200 50726.10 169.4808
84.6500 48.2400 50802.31 169.5598
84.6500 48.2600 50864.63 169.6387
84.6500 48.2800 50941.01 169.7177
84.6500 48.3000 51003.46 169.7967
84.6500 48.3200 51080.01 169.8758
84.6500 48.3400 51156.63 169.9548
84.6500 48.3600 51219.31 170.0339
84.6500 48.3800 51296.11 170.1130
84.6500 48.4000 51358.93 170.1921
84.6500 48.4200 51435.90 170.2712
84.6500 48.4400 51512.95 170.3504
84.6500 48.4600 51575.99 170.4295
84.6500 48.4800 51653.21 170.5087
84.6500 48.5000 51716.40 170.5879
84.6500 48.5200 51793.76 170.6671
84.6500 48.5400 51857.06 170.7464
84.6500 48.5600 51934.57 170.8256
84.6500 48.5800 52012.16 170.9049
84.6500 48.6000 52075.66 170.9842
84.6500 48.6200 52153.41 171.0636
84.6500 48.6400 52217.05 171.1429
84.6500 48.6600 52294.95 171.2223
84.6500 48.6800 52372.95 171.3016
84.6500 48.7000 52436.80 171.3810
84.6500 48.7200 52514.95 171.4605
84.6500 48.7400 52578.94 171.5399
84.6500 48.7600 52657.25 171.6194
84.6500 48.7800 52721.38 171.6988
84.6500 48.8000 52799.86 171.7783
84.6500 48.8200 52878.43 171.8578
84.6500 48.8400 52942.78 171.9374
84.6500 48.8600 53021.51 172.0169
84.6500 48.8800 53086.00 172.0965
84.6500 48.9000 53164.90 172.1761
84.6500 48.9200 53243.88 172.2557
84.6500 48.9400 53308.59 172.3354
84.6500 48.9600 53387.75 172.4150
84.6500 48.9800 53452.60 172.4947
84.6500 49.0000 53531.92 172.5744
84.6500 49.0200 53611.33 172.6541
84.6500 49.0400 53676.41 172.7339
84.6500 49.0600 53755.99 172.8136
84.6500 49.0800 53821.21 172.8934
84.6500 49.1000 53900.96 172.9732
84.6500 49.1200 53980.80 173.0530
84.6500 49.1400 54046.25 173.1328
84.6500 49.1600 54126.26 173.2127
84.6500 49.1800 54191.86 173.2926
84.6500 49.2000 54272.04 173.3725
84.6500 49.2200 54352.31 173.4524
84.6500 49.2400 54418.14 173.5323
84.6500 49.2600 54498.58 173.6123
84.6500 49.2800 54564.56 173.6923
84.6500 49.3000 54645.17 173.7723
84.6500 49.3200 54725.88 173.8523
84.6500 49.3400 54792.09 173.9323
84.6500 49.3600 54872.97 174.0124
84.6500 49.3800 54939.33 174.0925
84.6500 49.4000 55020.37 174.1726
84.6500 49.4200 55101.48 174.2527
84.6500 49.4400 55168.03 174.3328
84.6500 49.4600 55249.31 174.4130
84.6500 49.4800 55315.99 174.4932
84.6500 49.5000 55397.43 174.5734
84.6500 49.5200 55478.95 174.6536
