# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_4
#Generated on Wed Apr 14 12:05:27 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.0700 130.9000 1504778.60 645.3625 712.54 -41.6810
57.0700 130.9200 1505505.98 645.5121 712.62 -41.6773
57.0700 130.9400 1506233.82 645.6618 712.71 -41.6736
57.0700 130.9600 1506962.12 645.8116 712.81 -41.6698
57.0700 130.9800 1507690.89 645.9615 712.91 -41.6660
57.0700 131.0000 1508420.12 646.1114 713.02 -41.6621
57.0700 131.0200 1509149.82 646.2614 713.14 -41.6581
57.0700 131.0400 1509879.98 646.4116 713.26 -41.6542
57.0700 131.0600 1510610.62 646.5618 713.40 -41.6501
57.0700 131.0800 1511341.71 646.7121 713.54 -41.6460
57.0700 131.1000 1512073.28 646.8625 713.69 -41.6419
57.0700 131.1200 1512805.31 647.0129 713.85 -41.6377
57.0700 131.1400 1513537.81 647.1635 714.01 -41.6335
57.0700 131.1600 1514270.78 647.3141 714.18 -41.6292
57.0700 131.1800 1515004.22 647.4649 714.37 -41.6248
57.0700 131.2000 1515738.13 647.6157 714.55 -41.6204
57.0700 131.2200 1516472.51 647.7666 714.75 -41.6160
57.0700 131.2400 1517207.35 647.9176 714.95 -41.6115
57.0700 131.2600 1517942.67 648.0687 715.17 -41.6070
57.0700 131.2800 1518678.46 648.2199 715.39 -41.6024
57.0700 131.3000 1519414.73 648.3711 715.61 -41.5977
57.0700 131.3200 1520151.46 648.5225 715.85 -41.5930
57.0700 131.3400 1520888.67 648.6739 716.09 -41.5883
57.0700 131.3600 1521626.35 648.8254 716.35 -41.5835
57.0700 131.3800 1522364.51 648.9770 716.61 -41.5786
57.0700 131.4000 1523103.14 649.1287 716.87 -41.5737
57.0700 131.4200 1523842.24 649.2805 717.15 -41.5687
57.0700 131.4400 1524581.82 649.4324 717.43 -41.5637
57.0700 131.4600 1525321.88 649.5843 717.73 -41.5587
57.0700 131.4800 1526062.41 649.7364 718.03 -41.5536
57.0700 131.5000 1526803.42 649.8885 718.34 -41.5484
57.0700 131.5200 1527544.90 650.0408 718.65 -41.5432
57.0700 131.5400 1528286.86 650.1931 718.98 -41.5379
57.0700 131.5600 1529029.30 650.3455 719.31 -41.5326
57.0700 131.5800 1529772.22 650.4980 719.65 -41.5272
57.0700 131.6000 1530542.46 650.6506 715.51 -41.5509
57.0700 131.6200 1531286.36 650.8032 715.87 -41.5455
57.0700 131.6400 1532030.73 650.9560 716.23 -41.5399
57.0700 131.6600 1532775.58 651.1089 716.60 -41.5343
57.0700 131.6800 1533520.91 651.2618 716.98 -41.5287
57.0700 131.7000 1534266.73 651.4149 717.37 -41.5230
57.0700 131.7200 1535013.02 651.5680 717.76 -41.5173
57.0700 131.7400 1535759.80 651.7212 718.17 -41.5115
57.0700 131.7600 1536507.06 651.8745 718.58 -41.5056
57.0700 131.7800 1537254.80 652.0279 719.01 -41.4997
57.0700 131.8000 1538003.03 652.1814 719.44 -41.4938
57.0700 131.8200 1538751.74 652.3350 719.87 -41.4878
57.0700 131.8400 1539500.94 652.4886 720.32 -41.4817
57.0700 131.8600 1540250.62 652.6424 720.78 -41.4756
57.0700 131.8800 1541000.78 652.7962 721.24 -41.4695
57.0700 131.9000 1541778.37 652.9502 717.21 -41.4924
57.0700 131.9200 1542529.52 653.1042 717.68 -41.4861
57.0700 131.9400 1543281.17 653.2583 718.17 -41.4798
57.0700 131.9600 1544033.30 653.4126 718.67 -41.4734
57.0700 131.9800 1544785.92 653.5669 719.17 -41.4670
57.0700 132.0000 1545539.03 653.7213 719.68 -41.4605
57.0700 132.0200 1546292.62 653.8757 720.20 -41.4540
57.0700 132.0400 1547046.71 654.0303 720.73 -41.4474
57.0700 132.0600 1547801.28 654.1850 721.27 -41.4408
57.0700 132.0800 1548556.34 654.3397 721.82 -41.4341
57.0700 132.1000 1549311.90 654.4946 722.38 -41.4273
57.0700 132.1200 1550067.94 654.6495 722.95 -41.4205
57.0700 132.1400 1550851.50 654.8046 718.99 -41.4427
57.0700 132.1600 1551608.55 654.9597 719.57 -41.4358
57.0700 132.1800 1552366.09 655.1149 720.16 -41.4289
57.0700 132.2000 1553124.13 655.2703 720.76 -41.4219
57.0700 132.2200 1553882.66 655.4257 721.36 -41.4148
57.0700 132.2400 1554641.68 655.5812 721.98 -41.4077
57.0700 132.2600 1555401.20 655.7368 722.60 -41.4005
57.0700 132.2800 1556161.21 655.8924 723.23 -41.3933
57.0700 132.3000 1556921.71 656.0482 723.88 -41.3860
57.0700 132.3200 1557709.79 656.2041 719.99 -41.4077
57.0700 132.3400 1558471.31 656.3601 720.65 -41.4003
57.0700 132.3600 1559233.33 656.5161 721.31 -41.3929
57.0700 132.3800 1559995.85 656.6723 721.99 -41.3854
57.0700 132.4000 1560758.86 656.8285 722.67 -41.3778
57.0700 132.4200 1561522.37 656.9849 723.36 -41.3702
57.0700 132.4400 1562286.38 657.1413 724.07 -41.3626
57.0700 132.4600 1563050.89 657.2978 724.78 -41.3549
57.0700 132.4800 1563843.01 657.4544 720.95 -41.3761
57.0700 132.5000 1564608.55 657.6112 721.68 -41.3683
57.0700 132.5200 1565374.58 657.7680 722.41 -41.3604
