# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_ICBM_2
#Generated on Thu Jan 14 13:16:17 2010
#loft_angle burn_time ground_range time_of_flight
89.5900 300.2600 3948154.58 1096.3933
89.5900 300.2800 3950520.89 1096.7536
89.5900 300.3000 3952888.04 1097.1143
89.5900 300.3200 3955258.22 1097.4755
89.5900 300.3400 3957631.46 1097.8372
89.5900 300.3600 3960007.75 1098.1994
89.5900 300.3800 3962389.32 1098.5620
89.5900 300.4000 3964771.75 1098.9252
89.5900 300.4200 3967157.25 1099.2888
89.5900 300.4400 3969548.04 1099.6528
89.5900 300.4600 3971939.72 1100.0174
89.5900 300.4800 3974334.48 1100.3824
89.5900 300.5000 3976732.35 1100.7480
89.5900 300.5200 3979135.54 1101.1140
89.5900 300.5400 3981539.62 1101.4805
89.5900 300.5600 3983946.83 1101.8474
89.5900 300.5800 3986359.38 1102.2149
89.5900 300.6000 3988772.85 1102.5829
89.5900 300.6200 3991191.66 1102.9513
89.5900 300.6400 3993611.42 1103.3203
89.5900 300.6600 3996034.33 1103.6897
89.5900 300.6800 3998462.60 1104.0596
89.5900 300.7000 4000891.83 1104.4300
89.5900 300.7200 4003326.44 1104.8010
89.5900 300.7400 4005762.03 1105.1724
89.5900 300.7600 4008200.80 1105.5443
89.5900 300.7800 4010644.96 1105.9167
89.5900 300.8000 4013090.12 1106.2896
89.5900 300.8200 4015540.70 1106.6630
89.5900 300.8400 4017992.27 1107.0369
89.5900 300.8600 4020449.27 1107.4113
89.5900 300.8800 4022907.29 1107.7862
89.5900 300.9000 4025370.75 1108.1616
89.5900 300.9200 4027835.25 1108.5376
89.5900 300.9400 4030305.19 1108.9140
89.5900 300.9600 4032776.18 1109.2909
89.5900 300.9800 4035252.63 1109.6684
89.5900 301.0000 4037730.15 1110.0463
89.5900 301.0200 4040213.14 1110.4248
89.5900 301.0400 4042699.41 1110.8038
89.5900 301.0600 4045186.76 1111.1833
89.5900 301.0800 4047679.62 1111.5633
89.5900 301.1000 4050173.56 1111.9438
89.5900 301.1200 4052673.02 1112.3249
89.5900 301.1400 4055175.80 1112.7065
89.5900 301.1600 4057679.69 1113.0885
89.5900 301.1800 4060189.11 1113.4711
89.5900 301.2000 4062701.87 1113.8543
89.5900 301.2200 4065215.77 1114.2379
89.5900 301.2400 4067735.21 1114.6221
89.5900 301.2600 4070258.02 1115.0068
89.5900 301.2800 4072781.99 1115.3920
89.5900 301.3000 4075311.53 1115.7778
89.5900 301.3200 4077844.44 1116.1641
89.5900 301.3400 4080380.74 1116.5509
89.5900 301.3600 4082918.24 1116.9382
89.5900 301.3800 4085461.33 1117.3261
89.5900 301.4000 4088007.83 1117.7145
89.5900 301.4200 4090557.74 1118.1034
89.5900 301.4400 4093108.88 1118.4929
89.5900 301.4600 4095665.64 1118.8829
89.5900 301.4800 4098225.84 1119.2735
89.5900 301.5000 4100789.48 1119.6646
89.5900 301.5200 4103356.56 1120.0562
89.5900 301.5400 4105924.91 1120.4484
89.5900 301.5600 4108498.93 1120.8411
89.5900 301.5800 4111076.41 1121.2344
89.5900 301.6000 4113657.38 1121.6282
89.5900 301.6200 4116241.83 1122.0225
89.5900 301.6400 4118829.77 1122.4174
89.5900 301.6600 4121421.22 1122.8129
89.5900 301.6800 4124016.18 1123.2089
89.5900 301.7000 4126614.65 1123.6054
89.5900 301.7200 4129216.65 1124.0025
89.5900 301.7400 4131822.18 1124.4002
89.5900 301.7600 4134429.06 1124.7984
89.5900 301.7800 4137041.68 1125.1972
89.5900 301.8000 4139657.85 1125.5965
89.5900 301.8200 4142277.59 1125.9964
89.5900 301.8400 4144900.89 1126.3969
89.5900 301.8600 4147527.78 1126.7979
89.5900 301.8800 4150158.25 1127.1994
89.5900 301.9000 4152794.51 1127.6016
