# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_LR_SAM
#Generated on Mon Apr 19 14:34:08 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 115934.76 64072.07 81.5000 1603.55 11.2231
 116713.31 64226.96 82.0000 1602.49 11.0611
 117491.77 64379.52 82.5000 1601.44 10.8989
 118270.12 64529.76 83.0000 1600.40 10.7365
 119048.38 64677.67 83.5000 1599.38 10.5740
 119826.54 64823.25 84.0000 1598.38 10.4112
 120604.60 64966.51 84.5000 1597.40 10.2482
 121382.57 65107.45 85.0000 1596.43 10.0851
 122160.45 65246.06 85.5000 1595.47 9.9218
 122938.24 65382.36 86.0000 1594.54 9.7583
 123715.94 65516.32 86.5000 1593.62 9.5946
 124493.56 65647.97 87.0000 1592.71 9.4307
 125271.09 65777.30 87.5000 1591.82 9.2667
 126048.54 65904.30 88.0000 1590.94 9.1025
 126825.91 66028.99 88.5000 1590.08 8.9381
 127603.19 66151.35 89.0000 1589.24 8.7736
 128380.40 66271.40 89.5000 1588.41 8.6089
 129157.53 66389.12 90.0000 1587.60 8.4441
 129934.59 66504.53 90.5000 1586.80 8.2791
 130711.57 66617.61 91.0000 1586.02 8.1139
 131488.47 66728.38 91.5000 1585.25 7.9486
 132265.31 66836.83 92.0000 1584.50 7.7832
 133042.07 66942.96 92.5000 1583.77 7.6176
 133818.76 67046.77 93.0000 1583.05 7.4519
 134595.39 67148.27 93.5000 1582.34 7.2860
 135371.95 67247.45 94.0000 1581.65 7.1200
 136148.44 67344.31 94.5000 1580.98 6.9538
 136924.87 67438.86 95.0000 1580.32 6.7876
 137701.23 67531.09 95.5000 1579.67 6.6212
 138477.53 67621.00 96.0000 1579.04 6.4546
 139253.77 67708.60 96.5000 1578.42 6.2880
 140029.95 67793.88 97.0000 1577.82 6.1212
 140806.07 67876.85 97.5000 1577.24 5.9544
 141582.13 67957.50 98.0000 1576.67 5.7874
 142358.14 68035.83 98.5000 1576.11 5.6203
 143134.09 68111.85 99.0000 1575.57 5.4531
 143909.98 68185.56 99.5000 1575.05 5.2858
 144685.82 68256.95 100.0000 1574.54 5.1184
