# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_SR_SAM
#Generated on Wed Feb 03 16:41:21 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 11228.94 1985.51 13.5000 1524.21 7.8660
 11963.13 2085.81 14.0000 1442.37 7.6844
 12659.36 2178.62 14.5000 1369.47 7.4921
 13321.68 2264.57 15.0000 1304.09 7.2891
 13953.50 2344.24 15.5000 1245.09 7.0755
 14557.73 2418.09 16.0000 1191.55 6.8515
 15136.87 2486.51 16.5000 1142.74 6.6171
 15693.08 2549.88 17.0000 1098.02 6.3723
 16228.26 2608.48 17.5000 1056.90 6.1174
 16744.05 2662.59 18.0000 1018.94 5.8522
 17241.92 2712.45 18.5000 983.78 5.5769
 17723.17 2758.26 19.0000 951.12 5.2915
 18188.94 2800.22 19.5000 920.68 4.9961
 18640.27 2838.49 20.0000 892.24 4.6907
 19078.09 2873.23 20.5000 865.61 4.3753
 19503.23 2904.57 21.0000 840.61 4.0500
 19916.45 2932.64 21.5000 817.09 3.7149
 20318.44 2957.55 22.0000 794.92 3.3699
 20709.83 2979.40 22.5000 773.99 3.0152
 21091.18 2998.29 23.0000 754.19 2.6506
 21463.02 3014.31 23.5000 735.42 2.2764
 21825.83 3027.53 24.0000 717.62 1.8925
 22180.05 3038.03 24.5000 700.70 1.4989
-1.00 -1.00 -1.0000 -1.00 -1.0000
21.2000
 6148.36 1246.40 10.0000 1276.19 9.3054
 6793.19 1350.87 10.5000 1337.06 9.0984
 7468.09 1457.76 11.0000 1396.51 8.9010
 8172.31 1566.87 11.5000 1454.40 8.7121
 8905.08 1677.99 12.0000 1510.63 8.5309
 9665.55 1790.90 12.5000 1565.12 8.3567
 10452.85 1905.39 13.0000 1617.80 8.1887
 11230.05 2016.10 13.5000 1525.30 8.0181
 11964.53 2118.44 14.0000 1443.58 7.8368
 12661.13 2213.18 14.5000 1370.77 7.6447
 13323.88 2300.99 15.0000 1305.48 7.4419
 13956.19 2382.44 15.5000 1246.55 7.2287
 14560.95 2457.99 16.0000 1193.08 7.0050
 15140.67 2528.07 16.5000 1144.32 6.7710
 15697.51 2593.02 17.0000 1099.65 6.5267
 16233.34 2653.16 17.5000 1058.58 6.2723
 16749.83 2708.76 18.0000 1020.66 6.0076
 17248.42 2760.06 18.5000 985.54 5.7329
 17730.41 2807.27 19.0000 952.90 5.4481
 18196.96 2850.59 19.5000 922.49 5.1534
 18649.09 2890.18 20.0000 894.08 4.8487
 19087.73 2926.21 20.5000 867.46 4.5340
 19513.71 2958.80 21.0000 842.48 4.2096
 19927.79 2988.09 21.5000 818.98 3.8753
 20330.65 3014.19 22.0000 796.83 3.5312
 20722.92 3037.20 22.5000 775.90 3.1774
 21105.17 3057.23 23.0000 756.10 2.8138
 21477.92 3074.35 23.5000 737.34 2.4406
 21841.64 3088.65 24.0000 719.54 2.0578
 22196.78 3100.21 24.5000 702.62 1.6654
-1.00 -1.00 -1.0000 -1.00 -1.0000
21.4000
 6148.74 1262.71 10.0000 1276.55 9.4524
 6793.49 1368.86 10.5000 1337.47 9.2456
 7468.32 1477.53 11.0000 1396.97 9.0483
 8172.51 1588.49 11.5000 1454.94 8.8596
 8905.27 1701.54 12.0000 1511.27 8.6786
 9665.79 1816.46 12.5000 1565.88 8.5045
 10453.20 1933.04 13.0000 1618.70 8.3366
 11230.59 2045.84 13.5000 1526.35 8.1663
 11965.34 2150.15 14.0000 1444.73 7.9851
 12662.29 2246.78 14.5000 1372.02 7.7933
 13325.44 2336.40 15.0000 1306.81 7.5908
 13958.21 2419.58 15.5000 1247.95 7.3779
 14563.49 2496.80 16.0000 1194.55 7.1546
 15143.76 2568.48 16.5000 1145.85 6.9210
 15701.19 2634.99 17.0000 1101.24 6.6771
 16237.66 2696.63 17.5000 1060.20 6.4231
 16754.81 2753.68 18.0000 1022.33 6.1590
 17254.10 2806.39 18.5000 987.24 5.8848
 17736.82 2854.97 19.0000 954.63 5.6006
 18204.12 2899.61 19.5000 924.25 5.3065
 18657.02 2940.50 20.0000 895.86 5.0025
 19096.45 2977.78 20.5000 869.27 4.6886
 19523.24 3011.60 21.0000 844.31 4.3649
 19938.15 3042.08 21.5000 820.82 4.0315
 20341.85 3069.34 22.0000 798.67 3.6883
 20734.98 3093.49 22.5000 777.75 3.3353
 21118.09 3114.62 23.0000 757.96 2.9728
 21491.71 3132.83 23.5000 739.20 2.6005
 21856.32 3148.19 24.0000 721.39 2.2187
 22212.35 3160.78 24.5000 704.47 1.8274
-1.00 -1.00 -1.0000 -1.00 -1.0000
21.6000
 6149.01 1279.83 10.0000 1276.93 9.6068
 6793.66 1387.75 10.5000 1337.89 9.4002
 7468.42 1498.27 11.0000 1397.45 9.2031
 8172.56 1611.18 11.5000 1455.50 9.0145
 8905.31 1726.26 12.0000 1511.93 8.8336
 9665.87 1843.29 12.5000 1566.67 8.6597
 10453.38 1962.07 13.0000 1619.64 8.4920
 11230.96 2077.05 13.5000 1527.44 8.3219
 11966.00 2183.44 14.0000 1445.93 8.1409
 12663.29 2282.05 14.5000 1373.33 7.9493
 13326.87 2373.58 15.0000 1308.20 7.7472
 13960.12 2458.58 15.5000 1249.43 7.5346
 14565.92 2537.56 16.0000 1196.09 7.3116
 15146.78 2610.93 16.5000 1147.45 7.0784
 15704.83 2679.07 17.0000 1102.90 6.8350
 16241.96 2742.29 17.5000 1061.91 6.5815
 16759.81 2800.87 18.0000 1024.08 6.3179
 17259.83 2855.06 18.5000 989.03 6.0443
 17743.30 2905.08 19.0000 956.46 5.7608
 18211.38 2951.13 19.5000 926.11 5.4673
 18665.09 2993.37 20.0000 897.75 5.1640
 19105.35 3031.98 20.5000 871.18 4.8509
 19533.00 3067.09 21.0000 846.23 4.5281
 19948.77 3098.83 21.5000 822.74 4.1955
 20353.35 3127.32 22.0000 800.60 3.8532
 20747.37 3152.66 22.5000 779.69 3.5012
 21131.38 3174.97 23.0000 759.90 3.1396
 21505.91 3194.31 23.5000 741.14 2.7684
 21871.44 3210.79 24.0000 723.34 2.3877
 22228.40 3224.47 24.5000 706.42 1.9975
-1.00 -1.00 -1.0000 -1.00 -1.0000
21.8000
 6149.31 1296.04 10.0000 1277.29 9.7528
 6793.88 1405.64 10.5000 1338.29 9.5463
 7468.56 1517.91 11.0000 1397.91 9.3493
 8172.65 1632.66 11.5000 1456.04 9.1609
 8905.40 1749.65 12.0000 1512.57 8.9801
 9665.99 1868.69 12.5000 1567.42 8.8064
 10453.60 1989.55 13.0000 1620.54 8.6389
 11231.36 2106.60 13.5000 1528.46 8.4689
 11966.65 2214.95 14.0000 1447.07 8.2882
 12664.28 2315.44 14.5000 1374.57 8.0968
 13328.24 2408.77 15.0000 1309.53 7.8949
 13961.94 2495.50 15.5000 1250.83 7.6827
 14568.25 2576.14 16.0000 1197.56 7.4601
 15149.65 2651.11 16.5000 1148.98 7.2273
 15708.29 2720.80 17.0000 1104.47 6.9843
 16246.04 2785.52 17.5000 1063.54 6.7312
 16764.54 2845.55 18.0000 1025.74 6.4682
 17265.25 2901.15 18.5000 990.73 6.1951
 17749.44 2952.53 19.0000 958.19 5.9122
 18218.27 2999.91 19.5000 927.87 5.6194
 18672.74 3043.44 20.0000 899.53 5.3168
 19113.79 3083.31 20.5000 872.97 5.0044
 19542.23 3119.64 21.0000 848.03 4.6823
 19958.82 3152.58 21.5000 824.56 4.3505
 20364.23 3182.23 22.0000 802.43 4.0090
 20759.08 3208.71 22.5000 781.52 3.6580
 21143.94 3232.12 23.0000 761.73 3.2973
 21519.33 3252.55 23.5000 742.98 2.9272
 21885.73 3270.09 24.0000 725.18 2.5475
 22243.56 3284.81 24.5000 708.26 2.1583
-1.00 -1.00 -1.0000 -1.00 -1.0000
22.0000
